Number of all nodes =  379659 
nodes in x-z-plane =  13324 
nodes in y-z-plane =  13324 
nodes in x-y-plane ~  4000 
ma_x0          50 
ma_y0          80 

Nodes along z-axis =  303 
No.           coord. value
 1             0             2,955724 
0.5           304.481       1.31095E-3    -3.60138E-3   -1.12163      0.42441       1.88173E-2
0.55          304.188       2.58102E-4    -3.59984E-3   -1.05625      0.58938       6.57187E-2
0.6           303.92        3.78868E-5    -3.59842E-3   -0.9614       0.73085       0.12062
0.65          303.675       0.0           -3.59698E-3   -0.78856      0.90201       0.21708
0.7           303.448       0.0           -3.59562E-3   -0.68309      1.02159       0.28556
0.75          303.236       0.0           -3.59427E-3   -0.42844      1.16562       0.38188
0.8           303.039       0.0           -3.59306E-3   -0.14524      1.35487       0.50213
0.85          302.853       0.0           -3.59191E-3   -0.19057      1.39729       0.46568
0.9           302.679       0.0           -3.59101E-3   -0.21708      1.52594       0.45025
0.95          302.514       0.0           -3.59017E-3   -0.1449       1.79235       0.42942
1.            302.357       0.0           -3.5898E-3    -0.24989      1.76053       0.2954
1.            302.357       0.0           -3.5898E-3    8.11684E-2    1.87461       0.33279
1.            302.357       0.0           -3.5898E-3    -8.92988E-2   1.82268       0.23189
1.00005       302.357       0.0           -3.5898E-3    2.06022       2.89714       1.39825

 6            z =  0,4194408               44           x-z-plane
x =           Temp          Pump Light    z-disp        Sxx           Syy           Szz
-0.99995      302.36        0.0           -3.57008E-3   0.29767       1.88437       0.92315
-0.95         302.517       0.0           -3.57031E-3   0.22172       2.00063       0.95552
-0.9          302.681       0.0           -3.57072E-3   -5.11203E-2   1.78113       0.82667
-0.85         302.856       0.0           -3.57129E-3   -0.21014      1.52018       0.72038
-0.8          303.041       0.0           -3.572E-3     -0.19886      1.47584       0.69914
-0.75         303.238       0.0           -3.57281E-3   -0.54632      1.26739       0.55612
